literatur_id,literatur_kurztit,literatur_autor,literatur_jahr,literatur_citavi_id,literatur_provenienz,literatur_signatur,literatur_info,literatur_bearbeitungsstatus_intern,literatur_kommentar_intern
1087,5 / DAL 1938-12-01,,1938,11920,,,,,
1088,1 / DAL 1934-10-01,,,,,,,,
1089,2 / DAL 1935-07-01,,,,,,,,
1090,3 / DAL 1936-12-01,,,,,,,,
1091,4 / DAL 1937-12-01,,,,,,,,
1092,6 / DAL 1942-01-30,,,,,,,,
1093,7 / DAL 1942-04-20,,,,,,,,
1094,8 / DAL 1942-10-01,,,,,,,,
1095,9 / DAL 1943-05-15,,,,,,,,
1096,10 / DAL 1943-10-01,,,,,,,,
1097,11 / DAL 1944-01-30,,,,,,,,
1098,12 / DAL 1944-07-01,,,,,,,,
1099,13 / DAL 1944-10-01,,,,,,,,
1100,14 / DAL 1944-11-09,,,,,,,,
1101,15 / DAL 1945-01-30,,,,,,,,
1102,5a / B DAL 1939-06-15,,,,,,,,
